Browse,Browse
Refresh,Refresh
Activate,Activate
File Name,File Name
Content Name,Content Name
Content Type,Content Type
Status,Status
Installed Content,Installed Content
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Create Meta from Installed Content
Update Meta,Update Meta
Tools,Tools
Update QuickGPSFix,Update QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Help
Auto-Extract,Auto-Extract
Download To Device,Download To Device
Download To Folder,Download To Folder
Temporary Download Folder:,Temporary Download Folder:
"Map Country/Region (select from list or enter manually, case-sensitive):","Map Country/Region (select from list or enter manually, case-sensitive):"
Map Version:,Map Version:
Map Kind/Generation:,Map Kind/Generation:
Map Downloader,Map Downloader
Manual Install,Manual Install
Easy/Automatic Install,Easy/Automatic Install
Special thanks to the Maverick,Special thanks to the Maverick
Use Premium Cameras (where possible),Use Premium Cameras (where possible)
Safety Cam Downloader,Safety Cam Downloader
Install Postcodes/Zipcodes,Install Postcodes/Zipcodes
Singapore,Singapore
Great Britain,Great Britain
Netherlands,Netherlands
Postcodes,Postcodes
Custom/Unknown Traffic Providers:,Custom/Unknown Traffic Providers:
Known Traffic Providers:,Known Traffic Providers:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - for Carminat
TX01 (Default) - for most devices,TX01 (Default) - for most devices
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Name
Country,Country
Add Custom Provider (Advanced),Add Custom Provider (Advanced)
Save As...,Save As...
Enable/Disable All Providers,Enable/Disable All Providers
Install To Device,Install To Device
RDS-TMC,RDS-TMC
Source:,Source:
TTActivator,TTActivator
Change TTActivator Language,Change TTActivator Language
Paid,Paid
NAV3 Tools,NAV3 Tools
Install Patch,Install Patch
Uninstall Patch,Uninstall Patch
Reboot Device,Reboot Device
Upload Meta To Device,Upload Meta To Device
Install TT Package Files,Install TT Package Files
Delete Maps from Internal Memory,Delete Maps from Internal Memory
Device Storage Usage,Device Storage Usage
Internal Memory:,Internal Memory:
SD Card:,SD Card:
Special thanks to MSTMS team.,Special thanks to MSTMS team.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,Truck (MSTMS Truck):
Install Standard Patch,Install Standard Patch
Install Truck Patch,Install Truck Patch
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only)
For navcore 7.8x devices and above (none included),For navcore 7.8x devices and above (none included)
For navcore 7.8x devices and above (TTS only),For navcore 7.8x devices and above (TTS only)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only)
For navcore 9.x devices,For navcore 9.x devices
For navcore 9.x devices (no ASR),For navcore 9.x devices (no ASR)
