Browse,Suchen
Refresh,Erfrischen
Activate,Activieren
File Name,Dateiname
Content Name,Inhaltsname
Content Type,Inhaltstyp
Status,Status
Installed Content,Installierte Inhalte
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Erstellen von Meta aus installiertem Inhalt
Update Meta,Update Meta
Tools,Tools
Update QuickGPSFix,Update QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Hilfe
Auto-Extract,Automatische Extraktion
Download To Device,Download auf das Gerät
Download To Folder,Download in den Ordner
Temporary Download Folder:,Temporärer Download-Ordner
"Map Country/Region (select from list or enter manually, case-sensitive):",Karte Land/Region (aus der Liste auswählen oder manuell eingeben Groß-/Kleinschreibung berücksichtigen):
Map Version:,Kartenversion:
Map Kind/Generation:,Kartentyp/generation:
Map Downloader,Kartendownloader
Manual Install,Manuelle Installation
Easy/Automatic Install,Einfache/automatische Installation
Special thanks to the Maverick,Besonderer Dank an the Maverick
Use Premium Cameras (where possible),Premium-Kameras verwenden (wenn möglich)
Safety Cam Downloader,Sicherheits-Cam Downloader
Install Postcodes/Zipcodes,Installieren von Postleitzahlen
Singapore,Singapur
Great Britain,Großbritannien
Netherlands,Niederlande
Postcodes,Postleitzahlen
Custom/Unknown Traffic Providers:,Benutzerdefinierte/unbekannte Verkehrsanbieter:
Known Traffic Providers:,Namhafte Verkehrsanbieter:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - für Carminat
TX01 (Default) - for most devices,TX01 (Standard) - für die meisten Geräte
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Name
Country,Land
Add Custom Provider (Advanced),Hinzufügen eines benutzerdefinierten Anbieters (Erweitert)
Save As...,Speichern Sie als...
Enable/Disable All Providers,Aktivieren/Deaktivieren aller Anbieter
Install To Device,Auf dem Gerät installieren
RDS-TMC,RDS-TMC
Source:,Quelle:
TTActivator,TTActivator
Change TTActivator Language,TTActivator-Sprache ändern
Paid,Bezahlt
NAV3 Tools,NAV3 Tools
Install Patch,Patch installieren
Uninstall Patch,Patch deinstallieren
Reboot Device,Gerät neustarten
Upload Meta To Device,Meta auf Gerät hochladen
Install TT Package Files,TT-Paketdateien installieren
Delete Maps from Internal Memory,Karten aus dem internen Speicher löschen
Device Storage Usage,Gerätespeichernutzung
Internal Memory:,Interner Speicher:
SD Card:,SD-Karte:
Special thanks to MSTMS team.,Besonderer Dank geht an das MSTMS-Team.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,LKW (MSTMS Truck):
Install Standard Patch,Installieren Sie den Standard-Patch
Install Truck Patch,LKW-Patch installieren
Delete Safety Cameras,Sicherheitskameras löschen
Map Country/Region:,Karte Land/Region:
OR:,ODER:
Provide details about the content you wish to extract a meta code for:,"Geben Sie Details zu dem Inhalt an, für den Sie einen Metacode extrahieren möchten:"
Meta/OV2 File Name (case-sensitive):,Meta/OV2-Dateiname (Groß- und Kleinschreibung beachten):
Examples:,Beispiele:
Extract Meta Code,Meta-Code extrahieren
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),Für navcore 7.8x Geräte und höher (nur cspeech/ASR/TTS/vocalizer)
For navcore 7.8x devices and above (none included),Für navcore 7.8x Geräte und höher (keine enthalten)
For navcore 7.8x devices and above (TTS only),Für navcore 7.8x Geräte und höher (nur TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Für navcore 8.2x Geräte und höher (nur IQ-Routes/ALG/TTS/Vocalizer)
For navcore 9.x devices,Für navcore 9.x Geräte
For navcore 9.x devices (no ASR),Für navcore 9.x Geräte (kein ASR)
For truck navcore 9.x devices,Für LKW navcore 9.x Geräte
For NAV3 and navcore 9.x devices,Für NAV3 und navcore 9.x Geräte
For Mazda NB1 and navcore 9.x devices,Für Mazda NB1 und navcore 9.x Geräte
For NAV3 and navcore 9.x devices (no ASR),Für NAV3 und navcore 9.x Geräte (kein ASR)
For Renault R-Link and navcore 9.x devices,Für Renault R-Link und navcore 9.x Geräte
"A new version of TTActivator ({0}) is available, would you like to update now?","Eine neue Version von TTActivator ist verfügbar, möchten Sie jetzt aktualisieren?"
"An error occurred while downloading the update:
{0}","Beim Herunterladen des Updates ist ein Fehler aufgetreten:
{0}"
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.","TTActivator hat die neueste Version heruntergeladen auf:
{0}

Schließen Sie den TTActivator und extrahieren/ersetzen Sie dann die alte Version."
"QuickGPSFix Expiry: ","QuickGPSFix Ablauf: "
GPS Chipset,GPS Chipset
Activated,Aktiviert
Not Activated,Nicht aktiviert
Missing Meta/Blowfish,Vermisste Meta/Blowfish
No Activation Needed,Keine Aktivierung erforderlich
Please wait...,Bitte warten…
QuickGPSFix files updated successfully!,QuickGPSFix-Dateien erfolgreich aktualisiert!
"An error occurred while downloading or installing the QuickGPSFix files.

{0}","Beim Herunterladen oder Installieren der QuickGPSFix-Dateien ist ein Fehler aufgetreten.

{0}"
Update QuickGPSFix,QuickGPSFix aktualisieren
The meta code specified for this content {0}is not correct.,Der für diesen Inhalt {0}angegebene Metacode ist nicht gut.
"An error occurred while activating '{0}':

{1}","Beim Aktivieren von '{0}' ist ein Fehler aufgetreten:

{1}"
{0} item(s) activated successfully!,{0} Artikel erfolgreich aktiviert!
