Browse,Explorador
Refresh,Recargar
Activate,Activar
File Name,Nombre de Archivo
Content Name,Contenido
Content Type,Tipo de Archivo
Status,Estado
Installed Content,Contenido Instalado
Patch Navcore (PNDNavigator/ttsystem),Parchear Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Crear meta del contenido instalado
Update Meta,Actualizar Meta
Tools,Herramientas
Update QuickGPSFix,Actualizar QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Ayuda
Auto-Extract,Auto-Extraer
Download To Device,Descargar a Dispositivo
Download To Folder,Descargar a Carpeta
Temporary Download Folder:,Carpeta Descarga Temporal:
"Map Country/Region (select from list or enter manually, case-sensitive):",Mapa de País / Región (seleccione de la lista o ingrese manualmente mayusculas y minusculas):
Map Version:,Versión del Mapa:
Map Kind/Generation:,"Tipo de Mapa (verde, marrón, azul, etc...):"
Map Downloader,Descargador de Mapas
Manual Install,Instalación Manual
Easy/Automatic Install,Instalación Fácil / Automática
Special thanks to the Maverick,Agradecimiento especial a Maverick
Use Premium Cameras (where possible),Use cámaras premium (donde sea posible)
Safety Cam Downloader,Descargador Radares TT
Install Postcodes/Zipcodes,Instalador Postcodes/Zipcodes
Singapore,Singapur
Great Britain,Gran Bretaña
Netherlands,Países Bajos
Postcodes,Postcodes
Custom/Unknown Traffic Providers:,Personalizado/Proveedores de tráfico desconocidos:
Known Traffic Providers:,Proveedores de tráfico conocidos:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - para Carminat
TX01 (Default) - for most devices,TX01 (Default) - para la mayoría de los dispositivos
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Nombre
Country,Pais
Add Custom Provider (Advanced),Agregar Proveedor Personalizado (Avanzado)
Save As...,Guardar como...
Enable/Disable All Providers,Habilitar/Deshabilitar Todos los proveedores
Install To Device,Instalar en dispositivo
RDS-TMC,RDS-TMC
Source:,Dispositivo:
TTActivator,TTActivator
Change TTActivator Language,Cambiar idioma de TTActivator
Paid,Pagado
NAV3 Tools,Herramientas NAV3
Install Patch,Instalar parche
Uninstall Patch,Desinstalar parche
Reboot Device,Reiniciar el dispositivo
Upload Meta To Device,Subir meta al dispositivo
Install TT Package Files,Instalar archivos *.ttpkg
