Browse,Parcourir
Refresh,Rafraîchir
Activate,Activer
File Name,Nom de fichier
Content Name,Nom du contenu
Content Type,Type de contenu
Status,Statut
Installed Content,Contenu installé
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Créer Meta à partir de contenu installé
Update Meta,Mise à jour Meta
Tools,Outils
Update QuickGPSFix,Mise à jour QuickGPSFix
GPS Chipset:,Chipset GPS:
QuickGPSFix,QuickGPSFix
Help,Aide
Auto-Extract,Extrait automatique
Download To Device,Télécharger a Device
Download To Folder,Télécharger a dossier
Temporary Download Folder:,Dossier de téléchargement temporaire :
"Map Country/Region (select from list or enter manually, case-sensitive):","Carte Pays/Région (sélectionner à partir de la liste ou entrer manuellement, sensible aux cas):"
Map Version:,Version de la carte:
Map Kind/Generation:,Type/génération de carte:
Map Downloader,Téléchargeur de cartes
Manual Install,Installation manuelle
Easy/Automatic Install,Installation facile/automatique
Special thanks to the Maverick,Remerciements spéciaux au The Maverick
Use Premium Cameras (where possible),Utiliser des caméras Premium (dans la mesure du possible)
Safety Cam Downloader,Téléchargeur Safety Cam
Install Postcodes/Zipcodes,Installer les codes postaux/codes postal
Singapore,Singapour
Great Britain,Grande-bretagne
Netherlands,Pays-Bas
Postcodes,Codes postaux
Custom/Unknown Traffic Providers:,Fournisseurs de trafic personnalisés/inconnus:
Known Traffic Providers:,Fournisseurs de trafic connus:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - pour Carminat
TX01 (Default) - for most devices,TX01 (Default) - pour most devices
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Nom
Country,Pays
Add Custom Provider (Advanced),Ajouter Custom Provider (Advanced)
Save As...,Enregistrer as...
Enable/Disable All Providers,Activer/désactiver tous les fournisseurs
Install To Device,Installer à l'appareil
RDS-TMC,RDS-TMC
Source:,Source:
TTActivator,TTActivator
Change TTActivator Language,Changer le langage TTActivator
Paid,Payé
