Browse,Sfoglia
Refresh,Aggiorna
Activate,Attiva
File Name,Nome file
Content Name,Nome contenuto
Content Type,Tipo contenuto
Status,Stato
Installed Content,Contenuto installato
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Crea meta da contenuto installato
Update Meta,Aggiorna meta
Tools,Strumenti
Update QuickGPSFix,Aggiorna QuickGPSFix
GPS Chipset:,Chipset GPS:
QuickGPSFix,QuickGPSFix
Help,Aiuto
Auto-Extract,Esstrazione automatica
Download To Device,Download nel dispositivo
Download To Folder,Download in una cartella
Temporary Download Folder:,Cartella temporanea:
"Map Country/Region (select from list or enter manually, case-sensitive):","Mappa nazione/regione (seleziona da elenco o manualmente, attenzione a maiuscole/minuscole):"
Map Version:,Versione mappa:
Map Kind/Generation:,Tipo/generazione mappa:
Map Downloader,Mappe
Manual Install,Installazione manuale
Easy/Automatic Install,Installazione facilitata/automatica
Special thanks to the Maverick,Un grazie speciale a Maverick
Use Premium Cameras (where possible),Usa telecamere Premium (dove possibile)
Safety Cam Downloader,Telecamere sorveglianza
Install Postcodes/Zipcodes,Installa codici postali/CAP
Singapore,Singapore
Great Britain,Gran Bretagna
Netherlands,Paesi Bassi
Postcodes,Codici postali
Custom/Unknown Traffic Providers:,Provider traffico personali/sconosciuti:
Known Traffic Providers:,Provider traffico conosciuti:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - per Carminat
TX01 (Default) - for most devices,TX01 (predefinito) - per la maggior parte dei dispositivi
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Nome
Country,Nazione
Add Custom Provider (Advanced),Aggiungi provider personale (avanzate)
Save As...,Salva come...
Enable/Disable All Providers,Abilita/disabilita tutti i provider
Install To Device,Installa nel dispositivo
RDS-TMC,RDS-TMC
Source:,Dispositivo:
TTActivator,TTActivator
Change TTActivator Language,Modifica lingua TTActivator
Paid,Pagato
NAV3 Tools,Strumenti NAV3
Install Patch,Installa patch
Uninstall Patch,Disinstalla patch
Reboot Device,Riavvia il dispositivo
Upload Meta To Device,Carica meta nel dispositivo
Install TT Package Files,Installa file pacchetto TT
Delete Maps from Internal Memory,Elimina mappe dalla memoria interna
Device Storage Usage,Uso memoria dispositivo
Internal Memory:,Memoria interna:
SD Card:,Scheda SD:
Special thanks to MSTMS team.,Un ringraziamento speciale alla squadra MSTMS.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,Truck (MSTMS Truck):
Install Standard Patch,Installa patch Standard
Install Truck Patch,Installa patch Truck
Delete Safety Cameras,Elimina telecamere
Map Country/Region:,Mappa nazione/regione:
OR:,O:
Provide details about the content you wish to extract a meta code for:,Dettagli sul contenuto per cui si vuole estrarre un codice meta:
Meta/OV2 File Name (case-sensitive):,Nome file meta/OV2 (sensibile a maiuscolo/minuscolo):
Examples:,Esempi:
Extract Meta Code,Estrai codice meta
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),Per dispositivi con navcore 7.8x e successivi (solo cspeech/ASR/TTS/voci)
For navcore 7.8x devices and above (none included),Per dispositivi con navcore 7.8x e successivi (nessuna opzione)
For navcore 7.8x devices and above (TTS only),Per dispositivi con navcore 7.8x e successivi (solo TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Per dispositivi con navcore 8.2.x e successivi (solo IQroutes/ALG/TTS/voci)
For navcore 9.x devices,Per dispositivi con navcore 9.x
For navcore 9.x devices (no ASR),Per dispositivi con navcore 9.x (senza ASR)
For truck navcore 9.x devices,Per dispositivi con navcore 9.x Truck
For NAV3 and navcore 9.x devices,Per dispositivi NAV3 e navcore 9.x
For Mazda NB1 and navcore 9.x devices,Per dispositivi Mazda NB1 e navcore 9.x
For NAV3 and navcore 9.x devices (no ASR),Per dispositivi NAV3 e navcore 9.x (senza ASR)
For Renault R-Link and navcore 9.x devices,Per dispositivi R-Link e navcore 9.x
"A new version of TTActivator ({0}) is available, would you like to update now?",È disponibile una nuova versione ({0}) di TTActivator. Vuoi aggiornare ora TTActivator?
"An error occurred while downloading the update:
{0}","Si è verificato un errore durante il download dell'aggiornamento:
{0}"
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.","TTActivator ha scaricato la versione aggiornata in:
{0}

Chiudi TTActivator ed estrai/sostituisci i file della vecchia versione."
"QuickGPSFix Expiry: ","Scadenza QuickGPSFix: "
GPS Chipset,Chipset GPS
Activated,Attivato
Not Activated,Non attivato/a
Missing Meta/Blowfish,Meta/blowfish mancante
No Activation Needed,Nessuna attivazione necessaria
Please wait...,Attendi...
QuickGPSFix files updated successfully!,Aggiornamento file QuickGPSFix completato!
