Browse,Przeglądaj
Refresh,Odśwież
Activate,Aktywuj
File Name,Nazwa Pliku
Content Name,Nazwa zawartości
Content Type,Typ zawartości
Status,Status
Installed Content,Zainstalowana Zawartość
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Stwórz meta z zainstalowanej zawartości
Update Meta,Zaktualizuj Meta
Tools,Narzędzia
Update QuickGPSFix,Zaktualizuj QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Pomoc
Auto-Extract,Auto-wypakowanie
Download To Device,Pobierz na Urządzenie
Download To Folder,Pobierz do Folderu
Temporary Download Folder:,Folder tymczasowy dla pobieranych plików:
"Map Country/Region (select from list or enter manually, case-sensitive):","Kraj/Region Mapy (wybierz z listy lub wprowadź ręcznie, wielkość liter ma znaczenie):"
Map Version:,Wersja Mapy:
Map Kind/Generation:,Rodzaj/Generacja Mapy:
Map Downloader,Narzędzie do pobierania Map
Manual Install,Ręczna instalacja
Easy/Automatic Install,Łatwa/Automatyczna Instalacja
Special thanks to the Maverick,Specjalne podziękowania dla Maverick
Use Premium Cameras (where possible),Użyj Fotoradarów Premium (jeżeli możliwe)
Safety Cam Downloader,Narzędzie do pobierania Radarów
Install Postcodes/Zipcodes,Zainstaluj kody pocztowe
Singapore,Singapur
Great Britain,Wielka Brytania
Netherlands,Holandia
Postcodes,Kody pocztowe
Custom/Unknown Traffic Providers:,Niestandarodowy/Nieznany Dostawca Ruchu Drogowego:
Known Traffic Providers:,Znani Dostawcy Ruchu Drogowego:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - dla Carminat
TX01 (Default) - for most devices,TX01 (Default) - dla więkoszości urządzeń
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Nazwa
Country,Państwo
Add Custom Provider (Advanced),Dodaj Niestandardowego Dostawce (Zaawansowane)
Save As...,Zapisz jako...
Enable/Disable All Providers,Włącz/Wyłącz Wszystkich Dostawców
Install To Device,Zainstaluj w urządzeniu
RDS-TMC,RDS-TMC
Source:,Źródło:
TTActivator,TTActivator
Change TTActivator Language,Zmień język TTActivatora
Paid,Płatny
NAV3 Tools,Narzędzia NAV3
Install Patch,Zainstalować patcha
Uninstall Patch,Odinstaluj patcha
Reboot Device,Restartuj urządzenie
Upload Meta To Device,Prześlij do urządzenia Meta
