Browse,Brskaj
Refresh,Osveži
Activate,Aktiviraj
File Name,Ime datoteke
Content Name,Naziv vsebine
Content Type,Tip vsebine
Status,Status
Installed Content,Nameščena vsebina
Patch Navcore (PNDNavigator/ttsystem),Aktiviraj Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Ustvari Meta iz nameščene vsebine
Update Meta,Posodobi Meta
Tools,Orodja
Update QuickGPSFix,Posodobi QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Pomoč
Auto-Extract,Avtomatično ekstrahiraj
Download To Device,Prenesi na napravo
Download To Folder,Prenesi v mapo
Temporary Download Folder:,Začasna mapa za prenos:
"Map Country/Region (select from list or enter manually, case-sensitive):","Zemljevid Države/Regije (izberi iz seznama ali vnesi ročno, razlikuj vel. in male črke):"
Map Version:,Verzija Zemljevida:
Map Kind/Generation:,Vrsta zemljevida/Generacija:
Map Downloader,Prenos Zemljevidov
Manual Install,Ročna Inštalacija
Easy/Automatic Install,Enostavna/Avtomatična Inštalacija
Special thanks to the Maverick,Posebna zahvala @Maverick
Use Premium Cameras (where possible),Uporabi Premium Radarje (kjer je mogoče)
Safety Cam Downloader,Prenos Radarjev
Install Postcodes/Zipcodes,Inštalacija Poštnih številk
Singapore,Singapur
Great Britain,Velika Britanija
Netherlands,Nizozemska
Postcodes,Poštne Številke
Custom/Unknown Traffic Providers:,Neuradni ponudniki prometnih. Inf.
Known Traffic Providers:,Uradni ponudniki prometnih inf.
TX02 (Marigot) - for Carminat,TX02 (Marigot) - za Carminat
TX01 (Default) - for most devices,TX01 (Privzeto) - za večino naprav
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Naziv
Country,Država
Add Custom Provider (Advanced),Dodaj neuradnega ponudnika (Napredno)
Save As...,Shrani kot...
Enable/Disable All Providers,Omogoči/Onemogoči vse ponudnike prom. Inf.
Install To Device,Namesti na napravo
RDS-TMC,RDS-TMC
Source:,Vir:
TTActivator,TTActivator
Change TTActivator Language,Jezik Programa
Paid,Plačano
NAV3 Tools,NAV3 Orodja
Install Patch,Namestite obliž
Uninstall Patch,Odstrani obliž
Reboot Device,Ponovni zagon naprave
Upload Meta To Device,Naloži Meta napravo
Install TT Package Files,Namestite TT paket datotek
Delete Maps from Internal Memory,Brisanje zemljevidov iz notranjega pomnilnika
Device Storage Usage,Uporaba shranjevanje naprave
Internal Memory:,Notranji pomnilnik:
SD Card:,SD kartice:
Special thanks to MSTMS team.,Posebna zahvala MSTMS ekipe.
Standard (MSTMS):,Standardno (MSTMS):
Truck (MSTMS Truck):,Tovornjak (MSTMS Truck):
Install Standard Patch,Namestite standardna popravek
Install Truck Patch,Namestite tovornjak popravek
Delete Safety Cameras,Izbrišite varnostne kamere
Map Country/Region:,Zemljevid Države/Regije:
OR:,ALI:
Provide details about the content you wish to extract a meta code for:,"Navedite podrobnosti o vsebini, za katero želite izvleči meta kodo:"
Meta/OV2 File Name (case-sensitive):,Ime datoteke Meta/OV2 (odvisno od začetka):
Examples:,Primeri:
Extract Meta Code,Izvleček meta kode
